                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96974,                 1.6884,                 1.7392,                 1.4285,                0.26421,                0.73832,                0.23783,                0.11415,                0.22408,                0.62617,                0.16747,                 0.0847,                 1.3771,                 7.2518,                 22.639,                 2.4518,             0.00064912,             0.00064912,             0.00064912
                      2,                  1.292,                 1.7342,                 1.4393,                 1.6567,                0.06489,                0.36449,                  0.047,                0.01612,                0.05128,                0.07477,                  0.007,                0.00159,                 2.6522,                 40.458,                 19.887,                 4.5675,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.4284,                 2.0293,                  1.636,                 1.7495,                0.09481,                0.59813,                0.08869,                0.03305,                 0.1037,                0.65421,                0.09483,                 0.0331,                  2.134,                 31.672,                 84.293,                 6.5693,              0.0019432,              0.0019432,              0.0019432
                      4,                  1.357,                 1.8111,                 1.4016,                 1.6394,                0.13208,                0.42991,                0.09115,                0.02295,                0.01526,                0.07477,                0.00322,                0.00169,                 3.1965,                 12.138,                 6.9203,                 4.7668,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2669,                 1.6798,                 1.2513,                 1.5929,                 0.1584,                 0.3271,                0.12235,                0.04244,                0.19619,                0.30841,                0.15312,                0.06145,                 2.2977,                 6.1591,                 5.3702,                 3.0102,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2998,                 1.7843,                 1.2418,                 1.6043,                0.69008,                0.74766,                0.79143,                0.45751,                 0.7438,                0.72897,                 0.7755,                0.44307,                 1.3689,                 3.2727,                 2.1212,                 2.2514,               0.001901,               0.001901,               0.001901
                      7,                 1.2824,                 1.8275,                   1.22,                 1.5765,                0.54997,                 0.6853,                0.61938,                0.26104,                0.66499,                 0.7757,                 0.7581,                 0.4557,                 1.8158,                 3.3331,                 2.6637,                 2.5468,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2149,                 1.7968,                 1.1839,                 1.5271,                0.76581,                0.80374,                0.83027,                0.50215,                0.75771,                0.80374,                0.81143,                0.53585,                 1.2269,                 3.3929,                  1.237,                 1.9416,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1254,                  1.456,                 1.1025,                 1.4779,                0.84491,                0.85047,                0.91196,                 0.5583,                0.82891,                0.81504,                0.88568,                0.63289,                 1.2253,                 2.2306,                  1.279,                 1.8925,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1717,                 1.5107,                 1.0767,                 1.4902,                  0.781,                0.81308,                0.89817,                0.51223,                0.82704,                0.75974,                0.85617,                 0.6143,                 1.2843,                 1.4953,                 1.3496,                 1.9435,              0.0018218,              0.0018218,              0.0018218
